Occupation,Risk %
Dental Hygienists,99.7
Respiratory Therapy Technicians,95
Dental Assistants,92.5
"Dentists, General",92.1
Orderlies (Patient Care Assistants),90.2
Family and General Practitioners,90.1
Registered Nurses,86.1
Respiratory Therapists,84.2
Radiologic Technicians,84.1
Licensed Practical and Licensed Vocational Nurses,82.1
Surgical Technologists,80.6
Diagnostic Medical Sonographers,80.4
Physical Therapist Aides,80.3
Physician Assistants,80
"Internists, General (Internal Medicine)",79.8
Cardiovascular Technologists and Technicians,79.3
Physical Therapist Assistants,79.3
Physical Therapists,78.6
Occupational Therapists,77.7
Flight Attendants,75.6
Occupational Therapy Assistants,75
Veterinary Assistants and Laboratory Animal Caretakers,74.9
Nursing Assistants,72.5
Medical Assistants,72.2
Nurse Anesthetists,70.8
Emergency Medical Technicians and Paramedics,70.7
Veterinarians,70
Psychiatric Technicians,69.81
Psychiatric Aides,69
Skincare Specialists,68
"Bus Drivers, School or Special Client",67.3
Home Health Aides,66.3
"Kindergarten Teachers, Except Special Education",65.8
Personal Care Aides,64
Medical Equipment Preparers,63.9
Municipal Firefighters,63.2
First-Line Supervisors of Food Preparation and Serving Workers,62.8
Pharmacy Technicians,62.5
"Hairdressers, Hairstylists, and Cosmetologists",62.1
First-Line Supervisors of Correctional Officers,61
Nurse Practitioners,60.9
Correctional Officers and Jailers,60.4
Social and Human Service Assistants,60.3
Healthcare Social Workers,58.1
Childcare Workers,57.9
Pharmacists,56.8
Amusement and Recreation Attendants,56
Teacher Assistants,55.7
"Preschool Teachers, Except Special Education",55.1
"Elementary School Teachers, Except Special Education",53.8
Massage Therapists,52.8
Medical Secretaries,52.1
Police Patrol Officers,51.8
First-Line Supervisors of Police and Detectives,51.8
"Ushers, Lobby Attendants, and Ticket Takers",51.1
Tellers,50.9
First-Line Supervisors of Personal Service Workers,50.2
Manicurists and Pedicurists,49.4
"Bus Drivers, Transit and Intercity",47.8
"Food Servers, Nonrestaurant",47.6
"Middle School Teachers, Except Special and Career/Technical Education",46.6
Dining Room and Cafeteria Attendants and Bartender Helpers,45.5
Waiters and Waitresses,43.6
Food Preparation Workers,42.7
Receptionists and Information Clerks,42.6
Cashiers,41.6
Couriers and Messengers,41
"Office Clerks, General",40.5
Maids and Housekeeping Cleaners,40.4
Food Service Managers,40
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",39.5
Retail Salespersons,38.7
"Secondary School Teachers, Except Special and Career/Technical Education",37.3
Real Estate Sales Agents,36.9
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",36.5
Construction Laborers,36.2
Taxi Drivers and Chauffeurs,35.2
Light Truck or Delivery Services Drivers,33.8
Laundry and Dry-Cleaning Workers,33.5
Chief Executives,33.4
Refuse and Recyclable Material Collectors,32.3
"Sales Agents, Securities and Commodities",24.7
"Financial Managers, Branch or Department",23.8
Marketing Managers,23.7
Computer Programmers,23.43
Lawyers,23
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",22.7
"Bookkeeping, Accounting, and Auditing Clerks",22
Personal Financial Advisors,20.2
"Education Teachers, Postsecondary",19.6
Financial Analysts,19.3
Postal Service Mail Carriers,16
Market Research Analysts and Marketing Specialists,14.4
Management Analysts,14.1
Graphic Designers,12.8
Web Developers,12.5
Computer Hardware Engineers,6
Actuaries,5.2
Computer Network Architects,4.7
Economists,1.4
